run_id,val_bpb,binary_string,head_commit,base_commit,added_lines,deleted_lines,changed_lines,train_total_lines,change_ratio,diff_hash,method,error
51,1.12826516,011000,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
52,1.09152031,110110,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
53,1.07697607,000101,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
54,1.06985283,000111,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
55,1.08535552,010011,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
56,1.09071220,110111,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
57,1.09780638,000001,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
58,1.11044278,110010,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
59,1.10245022,101111,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
60,1.07670010,000101,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
61,1.06792149,010111,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
62,1.10292084,100100,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
63,1.06965964,000111,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
64,1.07094025,010111,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
65,1.13024465,100000,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
66,1.10492798,001101,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
67,1.08990247,011111,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
68,1.08989282,011111,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
69,1.09090457,011110,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
70,1.10265860,011011,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
71,1.10323092,001010,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
