run_id,val_bpb,binary_string,norm_type_choice,attention_type_choice,mlp_type_choice,value_embeddings_choice,qk_norm_choice,rope_base_choice,norm_type_one_frequency,attention_type_one_frequency,mlp_type_one_frequency,value_embeddings_one_frequency,qk_norm_one_frequency,rope_base_one_frequency
26,1.14150554,101000,LayerNorm,StandardAttention,SwiGLUMLP,NoValueEmbeddings,NoQKNorm,RoPEBase10k,0.50000000,0.46153846,0.42307692,0.61538462,0.53846154,0.46153846
27,1.10426523,010000,RMSNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,NoQKNorm,RoPEBase10k,0.48148148,0.48148148,0.40740741,0.59259259,0.51851852,0.44444444
28,1.10252207,011011,RMSNorm,SlidingWindowAttention,SwiGLUMLP,NoValueEmbeddings,UseQKNorm,RoPEBase50k,0.46428571,0.50000000,0.42857143,0.57142857,0.53571429,0.46428571
29,1.08071602,010101,RMSNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k,0.44827586,0.51724138,0.41379310,0.58620690,0.51724138,0.48275862
30,1.10548670,011101,RMSNorm,SlidingWindowAttention,SwiGLUMLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k,0.43333333,0.53333333,0.43333333,0.60000000,0.50000000,0.50000000
31,1.11522881,111011,LayerNorm,SlidingWindowAttention,SwiGLUMLP,NoValueEmbeddings,UseQKNorm,RoPEBase50k,0.45161290,0.54838710,0.45161290,0.58064516,0.51612903,0.51612903
32,1.09771557,010000,RMSNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,NoQKNorm,RoPEBase10k,0.43750000,0.56250000,0.43750000,0.56250000,0.50000000,0.50000000
33,1.10202536,110100,LayerNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k,0.45454545,0.57575758,0.42424242,0.57575758,0.48484848,0.48484848
34,1.08815258,010011,RMSNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase50k,0.44117647,0.58823529,0.41176471,0.55882353,0.50000000,0.50000000
35,1.07301585,000110,RMSNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k,0.42857143,0.57142857,0.40000000,0.57142857,0.51428571,0.48571429
36,1.09010260,001111,RMSNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k,0.41666667,0.55555556,0.41666667,0.58333333,0.52777778,0.50000000
37,1.08978313,110111,LayerNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k,0.43243243,0.56756757,0.40540541,0.59459459,0.54054054,0.51351351
38,1.08421297,010101,RMSNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k,0.42105263,0.57894737,0.39473684,0.60526316,0.52631579,0.52631579
39,1.09255815,110110,LayerNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k,0.43589744,0.58974359,0.38461538,0.61538462,0.53846154,0.51282051
