run,val_bpb,peak_vram_mb,training_seconds,total_seconds,status,binary_string,norm_type,attention_type,mlp_type,value_embeddings,qk_norm,rope_base
39,1.09255800,51030.500,300.500,331.800,ok,110110,LayerNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k
40,1.11052400,49806.500,300.400,331.200,ok,100011,LayerNorm,StandardAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase50k
41,1.06992200,45012.500,300.400,330.100,ok,000111,RMSNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k
42,1.11269700,55109.500,300.100,334.200,ok,101100,LayerNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k
43,1.10503300,49155.500,300.200,333.400,ok,011100,RMSNorm,SlidingWindowAttention,SwiGLUMLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k
44,1.07527200,45012.500,300.100,330.200,ok,010111,RMSNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k
45,1.10499000,49155.500,300.600,333.200,ok,001101,RMSNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k
46,1.08691800,43852.500,300.100,329.400,ok,000010,RMSNorm,StandardAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase10k
47,1.10486100,49155.500,300.500,333.400,ok,011100,RMSNorm,SlidingWindowAttention,SwiGLUMLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k
48,1.10372300,52155.500,300.400,333.500,ok,001010,RMSNorm,StandardAttention,SwiGLUMLP,NoValueEmbeddings,UseQKNorm,RoPEBase10k
49,1.07773500,40852.500,300.500,330.200,ok,010100,RMSNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k
50,1.10489800,46806.500,300.200,331.300,ok,100100,LayerNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k
51,1.12826500,47995.500,300.300,345.600,ok,011000,RMSNorm,SlidingWindowAttention,SwiGLUMLP,NoValueEmbeddings,NoQKNorm,RoPEBase10k
